image_id,path,true_label,true_class,pred_label,pred_class,pred_probability,correct,target_class_mode,target_label,target_class,original_path,gradcam_path,manual_focus_head,manual_focus_beak,manual_focus_wing,manual_focus_plumage,manual_focus_background,manual_notes
7129,data\raw\CUB_200_2011\images\122.Harris_Sparrow\Harris_Sparrow_0020_116379.jpg,121,122.Harris_Sparrow,121,122.Harris_Sparrow,0.9999403953552246,True,predicted,121,122.Harris_Sparrow,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\001_correct_image7129_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\001_correct_image7129_gradcam.jpg,,,,,,
5874,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0035_96312.jpg,100,101.White_Pelican,100,101.White_Pelican,0.9999141693115234,True,predicted,100,101.White_Pelican,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\002_correct_image5874_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\002_correct_image5874_gradcam.jpg,,,,,,
5067,data\raw\CUB_200_2011\images\087.Mallard\Mallard_0055_77102.jpg,86,087.Mallard,86,087.Mallard,0.9998911619186401,True,predicted,86,087.Mallard,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\003_correct_image5067_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\003_correct_image5067_gradcam.jpg,,,,,,
1975,data\raw\CUB_200_2011\images\035.Purple_Finch\Purple_Finch_0113_27547.jpg,34,035.Purple_Finch,34,035.Purple_Finch,0.9998487234115601,True,predicted,34,035.Purple_Finch,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\004_correct_image1975_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\004_correct_image1975_gradcam.jpg,,,,,,
5910,data\raw\CUB_200_2011\images\101.White_Pelican\White_Pelican_0047_97190.jpg,100,101.White_Pelican,100,101.White_Pelican,0.9998358488082886,True,predicted,100,101.White_Pelican,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\005_correct_image5910_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\005_correct_image5910_gradcam.jpg,,,,,,
8724,data\raw\CUB_200_2011\images\149.Brown_Thrasher\Brown_Thrasher_0019_155216.jpg,148,149.Brown_Thrasher,148,149.Brown_Thrasher,0.9998145699501038,True,predicted,148,149.Brown_Thrasher,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\006_correct_image8724_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\006_correct_image8724_gradcam.jpg,,,,,,
7844,data\raw\CUB_200_2011\images\134.Cape_Glossy_Starling\Cape_Glossy_Starling_0046_129434.jpg,133,134.Cape_Glossy_Starling,133,134.Cape_Glossy_Starling,0.9997877478599548,True,predicted,133,134.Cape_Glossy_Starling,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\007_correct_image7844_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\007_correct_image7844_gradcam.jpg,,,,,,
11093,data\raw\CUB_200_2011\images\189.Red_bellied_Woodpecker\Red_Bellied_Woodpecker_0020_182335.jpg,188,189.Red_bellied_Woodpecker,188,189.Red_bellied_Woodpecker,0.9997681975364685,True,predicted,188,189.Red_bellied_Woodpecker,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\008_correct_image11093_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\008_correct_image11093_gradcam.jpg,,,,,,
6427,data\raw\CUB_200_2011\images\110.Geococcyx\Geococcyx_0038_104266.jpg,109,110.Geococcyx,109,110.Geococcyx,0.999761164188385,True,predicted,109,110.Geococcyx,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\009_correct_image6427_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\009_correct_image6427_gradcam.jpg,,,,,,
1899,data\raw\CUB_200_2011\images\034.Gray_crowned_Rosy_Finch\Gray_Crowned_Rosy_Finch_0021_797286.jpg,33,034.Gray_crowned_Rosy_Finch,33,034.Gray_crowned_Rosy_Finch,0.9996787309646606,True,predicted,33,034.Gray_crowned_Rosy_Finch,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\010_correct_image1899_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\010_correct_image1899_gradcam.jpg,,,,,,
2756,data\raw\CUB_200_2011\images\048.European_Goldfinch\European_Goldfinch_0045_794690.jpg,47,048.European_Goldfinch,47,048.European_Goldfinch,0.9996781349182129,True,predicted,47,048.European_Goldfinch,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\011_correct_image2756_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\011_correct_image2756_gradcam.jpg,,,,,,
7826,data\raw\CUB_200_2011\images\134.Cape_Glossy_Starling\Cape_Glossy_Starling_0059_129357.jpg,133,134.Cape_Glossy_Starling,133,134.Cape_Glossy_Starling,0.9996769428253174,True,predicted,133,134.Cape_Glossy_Starling,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\012_correct_image7826_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\012_correct_image7826_gradcam.jpg,,,,,,
6373,data\raw\CUB_200_2011\images\109.American_Redstart\American_Redstart_0087_103371.jpg,108,109.American_Redstart,20,021.Eastern_Towhee,0.9983850717544556,False,predicted,20,021.Eastern_Towhee,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\013_wrong_image6373_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\013_wrong_image6373_gradcam.jpg,,,,,,
7652,data\raw\CUB_200_2011\images\131.Vesper_Sparrow\Vesper_Sparrow_0013_109937.jpg,130,131.Vesper_Sparrow,75,076.Dark_eyed_Junco,0.9965792298316956,False,predicted,75,076.Dark_eyed_Junco,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\014_wrong_image7652_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\014_wrong_image7652_gradcam.jpg,,,,,,
3670,data\raw\CUB_200_2011\images\064.Ring_billed_Gull\Ring_Billed_Gull_0020_50204.jpg,63,064.Ring_billed_Gull,59,060.Glaucous_winged_Gull,0.9953611493110657,False,predicted,59,060.Glaucous_winged_Gull,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\015_wrong_image3670_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\015_wrong_image3670_gradcam.jpg,,,,,,
4677,data\raw\CUB_200_2011\images\081.Pied_Kingfisher\Pied_Kingfisher_0040_72739.jpg,80,081.Pied_Kingfisher,158,159.Black_and_white_Warbler,0.9947585463523865,False,predicted,158,159.Black_and_white_Warbler,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\016_wrong_image4677_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\016_wrong_image4677_gradcam.jpg,,,,,,
9783,data\raw\CUB_200_2011\images\167.Hooded_Warbler\Hooded_Warbler_0039_164928.jpg,166,167.Hooded_Warbler,179,180.Wilson_Warbler,0.989624559879303,False,predicted,179,180.Wilson_Warbler,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\017_wrong_image9783_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\017_wrong_image9783_gradcam.jpg,,,,,,
2870,data\raw\CUB_200_2011\images\050.Eared_Grebe\Eared_Grebe_0052_34205.jpg,49,050.Eared_Grebe,50,051.Horned_Grebe,0.984946608543396,False,predicted,50,051.Horned_Grebe,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\018_wrong_image2870_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\018_wrong_image2870_gradcam.jpg,,,,,,
1308,data\raw\CUB_200_2011\images\024.Red_faced_Cormorant\Red_Faced_Cormorant_0065_796293.jpg,23,024.Red_faced_Cormorant,7,008.Rhinoceros_Auklet,0.9824902415275574,False,predicted,7,008.Rhinoceros_Auklet,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\019_wrong_image1308_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\019_wrong_image1308_gradcam.jpg,,,,,,
1863,data\raw\CUB_200_2011\images\033.Yellow_billed_Cuckoo\Yellow_Billed_Cuckoo_0038_26912.jpg,32,033.Yellow_billed_Cuckoo,31,032.Mangrove_Cuckoo,0.9783992171287537,False,predicted,31,032.Mangrove_Cuckoo,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\020_wrong_image1863_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\020_wrong_image1863_gradcam.jpg,,,,,,
4769,data\raw\CUB_200_2011\images\082.Ringed_Kingfisher\Ringed_Kingfisher_0052_72871.jpg,81,082.Ringed_Kingfisher,78,079.Belted_Kingfisher,0.9742788076400757,False,predicted,78,079.Belted_Kingfisher,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\021_wrong_image4769_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\021_wrong_image4769_gradcam.jpg,,,,,,
276,data\raw\CUB_200_2011\images\005.Crested_Auklet\Crested_Auklet_0072_785260.jpg,4,005.Crested_Auklet,6,007.Parakeet_Auklet,0.9726235866546631,False,predicted,6,007.Parakeet_Auklet,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\022_wrong_image276_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\022_wrong_image276_gradcam.jpg,,,,,,
10509,data\raw\CUB_200_2011\images\179.Tennessee_Warbler\Tennessee_Warbler_0071_175084.jpg,178,179.Tennessee_Warbler,152,153.Philadelphia_Vireo,0.972431480884552,False,predicted,152,153.Philadelphia_Vireo,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\023_wrong_image10509_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\023_wrong_image10509_gradcam.jpg,,,,,,
9933,data\raw\CUB_200_2011\images\169.Magnolia_Warbler\Magnolia_Warbler_0030_165782.jpg,168,169.Magnolia_Warbler,171,172.Nashville_Warbler,0.9717074036598206,False,predicted,171,172.Nashville_Warbler,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\024_wrong_image9933_original.jpg,outputs\explainability\gradcam_phase6\20260823_084541_phase5_resnet18_ce_only\images\024_wrong_image9933_gradcam.jpg,,,,,,
